HeatNo,Fill#1_ScrapName,Fill#1_ScrapWeight,Fill#2_ScrapName,Fill#2_ScrapWeight,Fill#3_ScrapName,Fill#3_ScrapWeight,Fill#4_ScrapName,Fill#4_ScrapWeight,Fill#5_ScrapName,Fill#5_ScrapWeight,Fill#6_ScrapName,Fill#6_ScrapWeight
72975,E3,43200,E6,0.0,OCR12VM,0.0,UTOPMO2,0.0,OCR12VM OSTRUŽKI,0.0,,
72977,OCR12VM,20000,E6,12800.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72978,OCR12VM,20000,E6,12900.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72980,OCR12VM,20000,E6,12700.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72998,OCR12VM,20000,E6,12800.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
72999,OCR12VM,20000,E6,13100.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73001,OCR12VM,20000,E6,12900.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73006,OCR12VM,30000,E6,11500.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73010,E6,20500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73011,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73012,OCR12VM,20000,E6,17300.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73018,E6,20000,OCR12VM,18000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73022,OCR12VM,21000,E6,20400.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73023,E3,40400,,,,,,,,,,
73026,E6,20100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73027,E6,20200,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73034,OCR12VM,21000,E6,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73050,OCR12VM,20000,E8,11200.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,E6,1000.0,,
73056,OCR12VM,20000,E6,12700.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73066,OCR12VM,20000,E6,12600.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73068,OCR12VM,20000,E6,12200.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73069,OCR12VM,20000,E6,12100.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73076,OCR12VM,20000,E6,10400.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73077,OCR12VM,20000,E6,12300.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73078,OCR12VM,20000,E6,12100.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73079,E6,20700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73082,OCR12VM,20000,E6,12400.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73092,E6,15900,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73096,OCR12VM,15000,E6,13600.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73102,E6,15500,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73109,OCR12VM,20000,E6,16400.0,UTOPMO4,10000.0,,,,,,
73111,OCR12VM,20000,E6,16200.0,UTOPMO4,10000.0,,,,,,
73112,OCR12VM,20000,E6,11800.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73143,E6,20600,OCR12VM,20000.0,E40,5000.0,,,,,,
73144,OCR12VM,20000,E6,18100.0,E40,5000.0,,,,,,
73145,OCR12VM,20000,E6,15100.0,E40,5000.0,,,,,,
73150,OCR12VM,20000,E6,16700.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73151,OCR12VM,20000,E6,13600.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73176,OCR12VM,20000,E6,16700.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73177,OCR12VM,20000,E6,16700.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73182,OCR12VM,20000,E6,16900.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73183,OCR12VM,20000,E6,16600.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73188,OCR12VM,20000,E6,16700.0,E40,5000.0,OCR12VM OSTRUŽKI,3000.0,,,,
73198,E6,15600,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73203,E6,15700,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73207,E6,15500,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73208,E6,15300,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73216,E6,15200,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73229,E6,15400,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73234,E6,15600,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73260,E6,22200,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73261,E6,18300,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73268,E6,20000,OCR12VM,20000.0,,,,,,,,
73286,E6,15700,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73287,E6,16000,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73297,E3,42600,,,,,,,,,,
73298,E6,16100,OCR12VM,15000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73304,E3,41200,,,,,,,,,,
73321,OCR12VM,20000,E6,12300.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73323,E3,38200,,,,,,,,,,
73325,OCR12VM,20000,E6,12400.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73338,E3,42900,,,,,,,,,,
73343,E6,21700,OCR12VM,20000.0,,,,,,,,
73347,E6,21900,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73348,E3,42800,,,,,,,,,,
73349,E3,42700,,,,,,,,,,
73356,E6,21600,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73377,E3,42800,,,,,,,,,,
73385,E3,43200,,,,,,,,,,
73386,OCR12VM,25000,E6,16000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73389,OCR12VM,25000,E6,16000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73408,E3,32100,E40,10500.0,,,,,,,,
73416,OCR12VM,20000,E6,10600.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73417,OCR12VM,20000,E6,10600.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73418,E3,31500,E40,10000.0,,,,,,,,
73419,E3,32600,E40,10000.0,,,,,,,,
73428,OCR12VM,20000,E6,19000.0,OCR12VM OSTRUŽKI,7000.0,,,,,,
73429,OCR12VM,20000,E6,10800.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73430,OCR12VM,20000,UTOPMO2,10000.0,E6,8900.0,OCR12VM OSTRUŽKI,5000.0,,,,
73435,OCR12VM,20000,E6,10800.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,,,,
73436,OCR12VM,20000,UTOPMO2,10000.0,E6,8500.0,OCR12VM OSTRUŽKI,5000.0,,,,
73445,OCR12VM,20000,E8,12000.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,5000.0,E6,0.0,,
73446,E6,20000,OCR12VM,20000.0,OCR12VM OSTRUŽKI,7000.0,,,,,,
73453,E6,20700,OCR12VM,20000.0,,,,,,,,
73454,E6,20100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,7000.0,,,,,,
73461,E3,30300,E40,9000.0,,,,,,,,
73466,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,7000.0,,,,,,
73467,E6,42000,,,,,,,,,,
73468,E3,32400,E40,10000.0,,,,,,,,
73477,OCR12VM,20000,E6,16000.0,OCR12VM OSTRUŽKI,7000.0,,,,,,
73484,E6,20200,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73485,E6,20300,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73486,OCR12VM,20000,E6,16400.0,OCR12VM OSTRUŽKI,3000.0,,,,,,
73495,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73497,OCR12VM,20000,E6,16300.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73499,E6,21100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
73503,E6,16100,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73507,E3,39700,E40,3000.0,,,,,,,,
73508,E6,17200,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73525,E3,31500,E40,10000.0,,,,,,,,
73526,E6,17200,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73530,E6,17300,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73531,E6,26900,OCR12VM,18000.0,,,,,,,,
73535,E6,17500,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73536,E6,17600,OCR12VM,15000.0,UTOPMO4,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
73541,E3,31300,E40,10000.0,,,,,,,,
73550,OCR12VM,19000,E6,18100.0,OCR12,10000.0,OCR12VM OSTRUŽKI,0.0,,,,
73558,E3,42900,,,,,,,,,,
73559,OCR12VM,20000,E6,18200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73562,OCR12VM,20000,E6,15200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73579,E3,40000,,,,,,,,,,
73580,E3,40200,,,,,,,,,,
73581,E3,40200,,,,,,,,,,
73589,E3,40200,,,,,,,,,,
73590,OCR12VM,25000,E6,15200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73597,OCR12VM,23000,E6,15100.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73598,OCR12VM,25000,E6,15200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73599,OCR12VM,25000,E6,15200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
73600,OCR12VM,25000,E6,15500.0,OCR12VM OSTRUŽKI,5000.0,,0.0,,,,
73614,E3,40500,,,,,,,,,,
73626,E3,40100,,,,,,,,,,
73627,E3,40000,,,,,,,,,,
73636,OCR12VM,25000,E6,15200.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
