HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
79467,1375,810
79468,1521,740
79473,1726,350
79481,966,620
79508,1243,600
79509,1171,620
79510,1373,770
79514,1897,740
79537,680,630
79538,1920,880
79539,845,420
79546,1376,500
79548,1512,660
79549,1761,860
79586,1858,450
79589,1837,860
79594,2321,740
79600,2147,820
79601,1380,670
79617,1052,740
79625,2014,600
79635,2037,760
79637,2277,620
79645,1425,670
79649,1675,760
79650,2776,460
79653,2769,700
79672,1619,620
79681,1872,500
79684,1577,860
79685,1175,420
79703,1584,570
79721,1437,750
79722,999,810
79737,2417,800
79745,1356,780
79746,1514,860
79756,2619,740
79767,1292,710
79777,1970,360
79785,2092,870
79803,1245,960
79804,1187,610
79805,1580,1100
79818,2106,800
79819,1548,630
79820,2012,860
79827,865,470
79847,1347,550
79850,2117,820
79862,942,390
79890,1711,740
79892,1131,860
79899,1806,810
79911,1020,750
79912,2018,1070
79922,1281,840
79923,1693,780
79926,766,690
79930,2916,910
79931,2186,800
79949,1468,800
79951,1503,350
79959,2771,650
79960,1069,670
79962,792,740
79985,2694,420
79986,851,790
79995,888,170
80007,2271,710
80016,1545,760
80017,2189,820
80018,3257,1250
80019,1788,420
80020,2065,600
80023,2776,600
80033,1363,940
80048,1025,690
80056,1150,800
80061,2835,850
80062,2196,800
80068,2286,890
80077,1106,380
80078,2475,800
80100,1474,350
80124,1739,740
80150,784,420
80151,1823,570
80164,1614,620
80172,2140,840
80173,2937,1300
80174,1451,730
80194,999,880
80209,916,730
80217,1255,920
80245,1258,750
80250,1328,400
80251,1943,630
80265,1115,720
80270,492,760
80271,1409,1430
80282,1446,780
80292,1150,580
80293,1594,730
80294,1209,840
80324,3627,680
80330,813,500
80334,2356,620
80335,1360,420
80341,3159,870
80362,1111,800
80363,1301,1000
80368,1354,640
80372,1164,700
80375,2023,1080
80381,1652,750
80395,584,620
80396,1249,520
80398,1919,630
80412,1554,850
80413,1557,1000
80418,2405,930
80425,2164,790
80426,1380,780
80455,2044,750
80464,1928,720
80465,1914,720
80471,1073,940
80484,1803,740
80488,1751,550
80494,1720,820
80518,1262,930
80519,1298,870
80522,1496,1510
80537,1164,870
80538,1608,420
80539,2355,620
80578,1413,1010
80580,502,760
80581,948,1220
80591,1455,720
80592,2263,900
80601,1179,470
80602,801,780
80603,1159,790
80604,1266,790
80610,1525,630
80634,2224,670
80635,1120,850
80650,1948,830
80653,879,770
80660,1408,870
80676,2394,880
80677,2283,710
80697,1633,970
80702,2465,620
80715,2001,620
80717,2549,680
80729,1595,680
80732,1367,600
80747,1267,430
80748,1087,400
80757,603,400
80758,1351,500
80762,1988,750
80770,1654,420
80784,1170,1040
80817,739,740
80823,1397,660
80824,2032,780
80833,1676,730
80834,1787,700
80845,1689,780
80846,1463,870
80864,2122,530
80869,2065,680
80870,1539,680
80871,1633,680
80880,870,820
80881,1491,770
80899,2562,980
80901,1631,430
80913,1539,600
80925,584,830
80926,1671,880
80927,1471,680
80940,2432,550
80941,1218,550
80943,1565,1210
80952,2369,880
80971,2260,790
80975,1649,780
80982,1212,860
80983,1083,1200
81017,2313,1150
81018,1141,930
81027,917,850
81057,2721,1020
81058,1213,980
81065,1566,790
81066,1993,670
81067,1593,860
81073,880,870
81074,900,600
81075,1886,1010
81086,1534,1050
81088,1735,740
81092,2504,940
81107,1788,350
81108,788,690
81110,1436,880
81117,1039,890
81120,1945,770
81132,1014,830
81133,950,950
81134,1377,940
81136,1325,620
81140,1305,735
81145,1432,660
81156,1584,880
81157,942,940
81166,1146,810
81184,2326,980
81206,1812,940
81207,2105,870
81208,1250,740
81214,2105,700
81215,1188,350
81226,1991,840
81236,1711,1050
81241,1105,650
81242,1930,620
81254,1405,230
81255,768,570
81265,1331,810
81267,752,890
81293,1197,640
81305,944,740
81315,990,780
81317,1935,770
81324,2507,820
81336,1265,830
81338,1307,660
81350,912,470
81371,2447,930
81372,1127,730
81378,1382,660
81379,1536,550
81395,1267,820
81396,1192,620
81397,896,870
81407,1220,620
81408,1501,630
81409,809,310
81424,1622,735
81428,1083,1220
81435,1299,660
81484,1608,870
81485,1255,740
81486,767,720
81506,1364,420
81529,2244,920
81530,1834,700
81550,1859,990
81582,1444,650
81583,1385,1700
81584,1030,850
81597,1598,870
81607,1292,550
81608,1191,520
81633,2047,710
81634,1782,780
81647,1867,780
81649,1051,940
81650,1462,850
81688,1582,790
81702,1759,680
81722,1378,420
81736,2280,840
81759,2332,850
81760,2546,980
81763,1875,1080
81778,2022,450
81779,1274,570
81786,1785,570
81801,1690,810
81820,1671,990
81838,1477,790
81844,1696,750
81845,1956,800
81853,1677,660
81854,1345,870
81894,1993,690
81896,2460,830
81897,1621,790
81899,1443,740
81900,1355,700
81904,1885,680
81921,1757,720
81922,1564,840
81945,1540,870
81947,973,930
81948,1514,1100
81969,975,550
81974,2046,1010
81979,1252,800
81980,1923,790
81981,1410,860
81983,1120,810
81994,3026,920
81996,1295,860
81997,812,700
81999,960,420
82015,1040,730
82017,528,930
82018,747,430
82035,1893,920
82036,1532,650
82037,1179,800
82045,1104,740
82046,660,750
82048,1768,1160
82058,1241,610
82059,2455,850
82085,884,640
82093,1489,780
82094,1674,810
82104,1562,900
82111,1663,910
82112,1422,860
82113,1051,750
82132,1607,820
82146,2309,770
82161,2233,810
82164,1880,495
82168,1967,870
82169,1159,660
82179,1766,1030
82194,1346,810
82195,929,380
82196,2078,600
82230,1461,800
82240,797,310
82258,2363,630
82262,2038,880
82266,962,630
82295,1042,420
82296,1445,940
82297,1505,470
82314,1221,990
82319,2266,450
82320,1288,570
82349,2517,910
82350,1592,830
82351,1129,620
82352,1441,420
82360,1517,810
82361,676,600
82362,1579,770
82368,1781,600
82371,2051,760
82393,1370,850
82394,1301,730
82395,1072,580
82442,2105,830
82451,1478,690
82452,1378,850
82463,1769,880
82464,1800,525
82468,1494,720
82504,2302,630
82506,1746,660
82507,1032,910
82522,2010,760
82523,1327,700
82535,1676,790
82574,1690,670
82577,725,550
82611,2348,570
82612,1557,740
82613,1174,810
82634,1394,680
82635,1500,1020
82639,627,750
82650,1117,750
82686,769,780
82698,913,650
82699,1118,770
82702,1811,710
82721,934,980
82722,1515,880
82723,962,1020
82724,1098,550
82729,2444,650
82735,1175,850
82736,898,730
82764,1030,420
82765,1351,740
82766,1346,860
82772,1390,630
82799,3003,920
82800,2433,830
82807,1298,700
82851,1592,710
82852,2300,650
82853,1676,800
82859,1011,600
82902,1941,900
82903,2082,780
82907,1145,650
82932,1474,900
82941,1058,900
82948,1741,530
82950,1539,1010
82960,1672,790
82978,721,550
82979,717,700
82986,1465,650
83001,2620,850
83017,1477,890
83023,1421,910
83026,1998,635
83045,1635,790
83054,862,1150
83056,1864,850
83079,3442,800
83091,1905,760
83094,2438,700
83118,2217,710
83143,1727,535
83167,1831,920
83182,1675,620
83188,2972,900
83196,2436,780
83219,1295,890
83222,1984,720
83228,2618,730
83230,2050,630
83236,1478,635
83249,1665,550
83250,1345,775
83256,1357,640
83257,509,750
83264,2529,900
83290,1472,690
83291,1483,700
83306,894,810
83307,1824,570
83327,2745,660
83337,544,730
83344,1550,840
83360,2246,650
83367,1209,620
83368,1653,840
83375,1366,615
83376,1135,720
83382,1552,860
83383,920,870
83392,817,810
83413,3426,880
83414,680,700
83424,1146,750
83427,1183,590
83428,807,580
83441,1030,550
83443,1939,800
83450,1376,810
83451,1558,730
83454,1960,650
83471,940,490
83473,1907,710
83474,1918,710
83512,1516,630
83515,1555,200
83526,1616,650
83529,1660,720
83536,538,570
83557,982,800
83558,1317,860
83567,1192,740
83568,3151,750
83591,2723,1090
83611,1955,820
83612,1583,760
83645,1775,820
83646,837,810
83657,1555,680
83678,1534,700
83702,1421,860
83703,1467,810
83704,1367,810
83714,1955,690
83735,2112,820
83744,1455,500
83758,1137,700
83759,1080,1030
83760,1178,740
83766,1024,590
83782,1921,820
83785,757,810
83790,1622,1190
83812,4327,670
83814,1014,820
83820,1283,930
83827,1749,760
83832,1068,870
83837,1910,540
83839,1294,830
83840,727,630
83855,1137,770
83877,1217,840
83882,1857,625
83885,1894,510
83891,3774,530
83892,2606,530
83903,1836,600
83904,1668,530
83907,1544,550
83925,1799,830
83926,2052,650
83947,1137,750
